SalesID,Employee_ID,CustomerID,ProductID,Quantity,Product_Name,Product_Price,Employee_Name,Employee_Middle,Employee_Lastname,Customer_Name,Customer_Middle,Customer_LastName
1,17,10482,500,500,ML Bottom Bracket,101.24,Albert,i,Ringer,Joseph,,White
2,5,1964,306,810,"Road-550-W Yellow, 48",1120.49,Innes,e,del Castillo,Austin,M,Jai
3,8,12300,123,123,Lock Nut 9,177.6$,Morningstar,r,Greene,Lauren,W,Cooper
4,1,4182,437,437,ML Road Tire,24.99,Abraham,e,Bennet,Clarence,L,Zeng
5,14,15723,246,750,"HL Mountain Frame - Silver, 48",$1364.5 $,Heather,c,McBadden,Preston,,Perez
6,14,6000,60,60r,Hex Nut 9,152.4$,Heather,c,McBadden,Eduardo,,Walker
7,5,17541,373,373,"Women's Mountain Shorts, M",69.99$,Innes,e,del Castillo,Shaun,N,Andersen
8,20,9423,183,687,LL Road Rim,306,Dean,t,Straight,Jenny,S,Liang
9,1,1,1,-10,Adjustable Race,1.6$,Abraham,e,Bennet,\,,Alexander
10,11,11241,310,310,LL Headset,34.2,Livia,a,Karsen,Katherine,R,Cook
11,2,3023,119,623,Lock Nut 16,88$,NULL,l,,Caleb,,Li
12,17,14664,433,937,LL Mountain Tire,24.99,Albert,i,Ringer,Morgan,M,Hill
13,20,5241,250,250,"HL Mountain Frame - Black, 48",1349.6,Dean,t,Straight,Deb,,Waldal
14,8,16482,56,560,,75.4$,Morningstar,r,Greene,Robin,,Ortega
15,22,8264,369,873,"Classic Vest, S",63.5,Johnson,h,White,Isabella,A,Evans
16,3,18700,187,187,LL Mountain Seat Assembly,133.34,,,,Timothy,L,Sanders
19,8,12300,123,123,Lock Nut 9,177.6,Morningstar,r,Greene,Lauren,W,Cooper
21,14,15723,246,750,"HL Mountain Frame - Silver, 48",$1364.5 $,Heather,c,,Preston,,Perez
22,14,6000,60,60,Hex Nut 9,152.4,Heather,c,McBadden,Eduardo,,Walker
23,5,17541,373,373,"Women's Mountain Shorts, M",69.99,Innes,e,del Castillo,Shaun,N,Andersen
24,20,9423,183,687&&,LL Road Rim,306,Dean,t,Straight,Jenny,S,Liang
25,,1,1,-26,Adjustable Race,1.6,Abraham,e,Bennet,\,,Alexander
27,2,3023,119,623,Lock Nut 16,88,NULL,l,,Caleb,,Li
30,15,19482,86,590,,0,Michael,',O'Leary,Willie,R,Gao
31,6,11264,399,903,Rear Derailleur,121.46,Ann,u,Dull,Kathleen,A,Rubio
32,10,1941,217,217,AWC Logo Cap,8.99Euro,Sheryl,u,Hunter,Austin,,Zhang
33,1,13482,26,530,Flat Washer 4,0,Abraham,e,Bennet,Mario,H,Rai
34,12,4964,336,840,"ML Mountain Frame - Black, 44",348.76,Charlene,o,Locksley,Danny,J,Vazquez
35,15,15300,153,153 eit,Lock Washer 3,0,Michael,',O'Leary,Olivia,D,Bennett
36,7,7182,467,467,"Touring-3000 Yellow, 50",742.35,,r,Green,Gabrielle,,Price
37,21,18723,276,780,"Mountain-100 Silver, 38",3399.99,Dirk,t,Stringer,Tina,J,Lopez
38,21,9000,90,90,,0,Dirk,t,Stringer,Jared,A,Gray
39,12,782,403,403,"LL Touring Frame - Blue, 62",333.42 $$,Charlene,o,Locksley,Alicia,A,Chapman
40,4,12423,213,717,"Sport-100 Helmet, Black",34.99,,e,,Levi,,Prasad
41,7,3000,30,30,Flat Washer 7,418.8,,r,Green,Caitlin,A,Howard
42,18,14241,340,340,"ML Road Frame-W - Yellow, 44",594.83,Anne,i,Ringer,Micheal,,Vazquez
43,9,6023,149,653,Lock Washer 7,564,Burt,r,Gringlesby,Eduardo,G,Butler
44,1,17664,463,967,"Touring-3000 Blue, 54",742.35,Abraham,e,Bennet,Shelley,N,Dyck
45,4,8241,280,280,"Mountain-100 Black, 38",3374.99,,e,,Isabella,,Mitchell
48,10,1941,217,217,AWC Logo Cap,8.99,Sheryl,u,Hunter,Austin,,Zhang
49,1,13482,26,530$%&*,Flat Washer 4,0,Abraham,e,,Mario,H,Rai
51,15,15300,153,153,Lock Washer 3,0,Michael,',O'Leary,Olivia,D,Bennett
55,,782,403,403,"LL Touring Frame - Blue, 62",333.42 $$,Charlene,o,Locksley,Alicia,A,Chapman
60,1,17664,463,967,"Touring-3000 Blue, 54",742.35,Abraham,e,,Shelley,N,Dyck
63,6,11264,399,903,Rear Derailleur,-121.46,Ann,u,Dull,Kathleen,A,Rubio
65,1,13482,26,530,Flat Washer 4,0,,e,,Mario,H,Rai
66,,4964,336,840,"ML Mountain Frame - Black, 44",348.76,Charlene,o,Locksley,Danny,J,Vazquez
76,1,17664,463,967,"Touring-3000 Blue, 54",742.35,,e,,Shelley,N,Dyck
80,10,1941,217,217,AWC Logo Cap,-8.99,Sheryl,u,Hunter,Austin,,Zhang
81,8,16482,56,560,,75.4,Morningstar,r,Greene,Robin,,Ortega
87,1,4182,437,437,ML Road Tire,24.99,,e,,Clarence,L,Zeng
90,22,19241,390,390,"HL Touring Frame - Yellow, 60",1003.91,Johnson,h,White,Virginia,,Rodriguez
91,10,10723,196,700,LL Spindle/Axle,418.4,Sheryl,u,Hunter,Julie,,Jai
92,13,1300,13,13,Chain Stays,64.8,Stearns,a,MacFeather,Andrew,R,Hill
93,5,12941,327,327,"ML Road Frame-W - Yellow, 38",594.83,Innes,e,del Castillo,Mackenzie,A,Adams
94,19,4723,136,640,Lock Nut 15,548.4,Meander,m,Smith,Dale,C,Holt
95,7,15964,446,950,Touring Pedal,80.99,,r,Green,Randy,,Zhang
96,10,6541,263,263,"Road-450 Red, 52",-1457.99,Sheryl,u,Hunter,Erik,S,Gutierrez
97,2,18182,73,577,Hex Nut 15,472.8,NULL,l,,Tabitha,A,Gonzalez
98,16,9964,386,890,"Short-Sleeve Classic Jersey, S",53.99,Sylvia,a,Panteley,Joe,,Gutierrez
99,16,241,200,200,Spokes,843.2,Sylvia,a,Panteley,Adriana,,Vance
100,7,11782,9,513,Chainring Bolts,0,,r,Green,Krista,,Gill
101,22,3664,323,827,LL Road Front Wheel,85.565,Johnson,h,White,Cedric,W,Ma
102,2,15300,153,140,Lock Washer 3,0,NULL,l,,Olivia,D,Bennett
109,18,14241,340,340,,594.83,Anne,i,Ringer,Micheal,,Vazquez
113,15,19482,86,590,,0,?,',,Willie,R,Gao
118,15,15300,153,153,Lock Washer 3,0,?,',,Olivia,D,Bennett
120,15,664,293,797,"Mountain-300 Black, 48",1079.99,?,',,Alexandria,F,Peterson
121,15,10700,107,107,Thin-Jam Lock Nut 5,85.6,?,',,Julian,,Jenkins
122,6,2482,420,420,ML Touring Seat/Saddle,39.14,Ann,u,Dull,Brandon,,Harris
123,20,14023,229,733,"LL Road Frame - Black, 62",337.22,Dean,t,Straight,Melinda,T,Jimenez
124,1,4700,47,47,Thin-Jam Hex Nut 4,441.6,,e,,Dakota,A,Russell
125,,15941,357,357,"Women's Tights, S",74.99,Charlene,o,Locksley,Randall,A,Ruiz
126,3,7723,166,670,Metal Sheet 6,389.6,,,,Hailey,R,Rivera
127,17,19264,479,983,"Road-350-W Yellow, 42",1700.99,?,i,,Walter,,Jimenez
128,21,9941,297,297,"Road-250 Red, 58",2443.35,Dirk,t,Stringer,Jodi,,Deng
129,9,1423,103,607,Thin-Jam Lock Nut 1,169.6,Burt,r,Gringlesby,Angelica,,Alexander
130,1,12964,416,920,LL Road Seat/Saddle,27.12,,e,,Mackenzie,M,Ramirez
131,3,3541,233,233,"LL Road Frame - Red, 58",337.22,,,,Cassandra,D,Madan
132,18,15182,43,547,Thin-Jam Hex Nut 16,72.8,Anne,i,Ringer,Noah,,Bryant
133,6,6664,353,857,Headlights - Weatherproof,44.99,Ann,u,Dull,Ethan,M,Sharma
134,9,17000,170,170,HL Nipple,196.4,Burt,r,Gringlesby,Samuel,B,Johnston
135,1,8782,483,483,"Touring-3000 Blue, 44",742.35,,,,James,,Kumar
149,6,6664,353,857,Headlights - Weatherproof,-44.99,Ann,u,Dull,Ethan,M,Sharma
151,17,10482,500,500,ML Bottom Bracket,101.24,?,i,,Joseph,,White
162,14,18964,476,980,"Touring-2000 Blue, 50",1214.85,Heather,c,McBadden,Troy,,Chandra
163,17,9541,293,293,"Mountain-300 Black, 48",1079.99,?,i,,Jermaine,J,Perez
165,,12964,416,920,LL Road Seat/Saddle,27.12,,e,Bennet,Mackenzie,M,Ramirez
166,1,3241,230,230,"LL Road Frame - Red, 44",337.22,,e,,Carla,J,Gonzalez
